"","PA","BB_rate","HR_rate","AVG","OBP","SLG","OPS","XR","SB_rate","BABIP","H2_rate","H3_rate","T_ID","year","month","P_ID","BAT_ORDER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO"
"1",12,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.076,0,0.142857142857143,0,0,"HH",2016,4,60404,9,0,0,0,2,0,2,1,0,0,2
"2",10,0.1,0,0.333333333333333,0.4,0.444444444444444,0.844444444444444,1.02,0,0.380952380952381,0.333333333333333,0,"HH",2016,4,60667,8,0,0,0,2,3,0,3,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,"HH",2016,4,60757,9,0,0,0,0,0,0,1,0,0,0
"4",1,1,0,0,1,0,1,0.34,0,0.260869565217391,0,0,"HH",2016,4,60805,2,0,0,0,0,0,0,0,0,2,0
"5",36,0.111111111111111,0.166666666666667,0.193548387096774,0.305555555555556,0.32258064516129,0.628136200716846,2.444,0.533333333333333,0.309133489461358,0.166666666666667,0,"HH",2016,4,61700,8,0,1,0,3,3,3,3,0,0,3
"6",67,0.0298507462686567,0.117647058823529,0.278688524590164,0.323076923076923,0.442622950819672,0.765699873896595,7.98,0.537037037037037,0.344199424736337,0.235294117647059,0,"HH",2016,4,62700,7,0,2,0,4,3,2,6,0,2,3
"7",3,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.304,0.611111111111111,0.299554565701559,0,0,"HH",2016,4,62797,8,0,0,0,0,0,1,0,0,0,0
"8",78,0.0641025641025641,0.166666666666667,0.260869565217391,0.32,0.463768115942029,0.783768115942029,9.23,0.2,0.302702702702703,0.277777777777778,0,"HH",2016,4,64086,7,0,2,0,4,3,2,6,0,2,3
"9",80,0.0375,0.0434782608695652,0.306666666666667,0.341772151898734,0.413333333333333,0.755105485232068,9.008,0.578947368421053,0.330567081604426,0.217391304347826,0,"HH",2016,4,66740,6,0,1,0,4,3,3,6,0,2,3
"10",36,0.0555555555555556,0,0.1875,0.235294117647059,0.28125,0.516544117647059,1.746,0.611111111111111,0.319201995012469,0.166666666666667,0.166666666666667,"HH",2016,4,71347,2,0,0,0,4,2,3,2,0,0,2
