"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY","BABIP","ERA","R_FIP","kwERA","SB_try","SB_succ","GD_rate","H2_rate","H3_rate","HR_rate","BB_rate","HP_rate","KK_rate","BK_rate","KBB","AVG","OBP","SLG","OPS","ER_rate","ERR","ERR_rate"
2016,4,60146,"LG",37,9,1,0,0,8,0,10,0,45,7,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.277777777777778,5.78571428571429,4.34473422242192,4.86666666666667,0.0191458026509573,0.769230769230769,0.0176730486008837,0.111111111111111,0,0,0.177777777777778,0,0.222222222222222,0,1.75609756097561,0.243243243243243,0.377777777777778,0.27027027027027,0.648048048048048,0.857142857142857,16,0.00276720857834659
2016,4,60181,"LG",25,8,1,1,1,1,1,3,0,28,4,4,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.277542372881356,6,6.08282946051716,4.54285714285714,0.020260492040521,0.857142857142857,0.0130246020260492,0.125,0.125,0.125,0.0357142857142857,0.0357142857142857,0.107142857142857,0,3.34146341463415,0.32,0.357142857142857,0.56,0.917142857142857,1,16,0.00276720857834659
2016,4,60263,"NC",90,22,0,1,3,7,0,23,0,98,7,7,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14,0.321969696969697,2.73913043478261,4.52485844602441,3.44081632653061,0.0178843226788432,0.468085106382979,0.0156012176560122,0,0.0454545454545455,0.136363636363636,0.0714285714285714,0,0.23469387755102,0,2.25550660792952,0.244444444444444,0.295918367346939,0.366666666666667,0.662585034013605,1,14,0.0024809498493709
2016,4,60264,"KT",79,21,2,0,3,5,2,12,1,88,7,7,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11,0.329749103942652,3.15,5.71616279385049,4.44545454545455,0.036144578313253,0.666666666666667,0.0227576974564926,0.0952380952380952,0,0.142857142857143,0.0568181818181818,0.0227272727272727,0.136363636363636,0.0357142857142857,1.29850746268657,0.265822784810127,0.318181818181818,0.40506329113924,0.723245109321059,1,18,0.00305291723202171
2016,4,60339,"WO",15,4,0,0,0,3,1,0,0,21,1,1,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13,0.288188976377953,2.07692307692308,6.68539356308126,7.11428571428571,0.021505376344086,0.777777777777778,0.019115890083632,0,0,0,0.142857142857143,0.0476190476190476,0,0,1.5,0.266666666666667,0.380952380952381,0.266666666666667,0.647619047619048,1,10,0.00175932441942294
2016,4,60342,"WO",25,6,2,0,0,7,1,2,0,33,3,3,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13,0.235294117647059,4.26315789473684,7.0740575306926,7.21818181818182,0.0212765957446809,1,0.0212765957446809,0.333333333333333,0,0,0.212121212121212,0.0303030303030303,0.0606060606060606,0,0.222222222222222,0.24,0.424242424242424,0.32,0.744242424242424,1,10,0.00175932441942294
2016,4,60634,"HT",25,6,2,0,0,6,0,6,0,33,3,3,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.307359307359307,3.85714285714286,4.77330565099335,5.4,0.0269865067466267,0.611111111111111,0.0179910044977511,0.333333333333333,0,0,0.181818181818182,0,0.181818181818182,0,1.10344827586207,0.24,0.363636363636364,0.32,0.683636363636364,1,19,0.00329232368740253
2016,4,60636,"HT",28,6,0,0,1,4,0,7,0,32,5,5,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.357142857142857,6.13636363636364,5.41616279385049,4.275,0.0361990950226244,0.9375,0.0113122171945701,0,0,0.166666666666667,0.125,0,0.21875,0,1.95555555555556,0.214285714285714,0.3125,0.321428571428571,0.633928571428571,1,19,0.00329232368740253
2016,4,60757,"HH",43,16,3,0,2,5,0,9,0,48,8,8,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0.394495412844037,8,6.47171834940605,4.4,0.0106951871657754,0.5,0.0160427807486631,0.1875,0,0.125,0.104166666666667,0,0.1875,0,1.32258064516129,0.372093023255814,0.4375,0.581395348837209,1.01889534883721,1,24,0.00404244567963618
2016,4,60764,"HH",2,1,0,0,0,6,0,0,0,8,5,5,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0.362068965517241,135,57.9161627938505,14.4,0,0,0.0217391304347826,0,0,0,0.75,0,0,0,0.823529411764706,0.5,0.875,0.5,1.375,1,24,0.00404244567963618
2016,4,60768,"HH",31,8,1,0,2,2,1,2,0,35,5,3,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0.318181818181818,3.375,7.79116279385049,5.4,0.0243079000675219,0.694444444444444,0.0263335584064821,0.125,0,0.25,0.0571428571428571,0.0285714285714286,0.0571428571428571,0,1.93525179856115,0.258064516129032,0.314285714285714,0.483870967741935,0.79815668202765,0.6,24,0.00404244567963618
2016,4,60841,"SK",107,23,6,0,2,14,5,25,0,126,10,10,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10,0.301764159702878,3.21428571428571,5.09473422242192,4.35238095238095,0.0536075522589346,0.773584905660377,0.0198921105866487,0.260869565217391,0,0.0869565217391304,0.111111111111111,0.0396825396825397,0.198412698412698,0,1.71517027863777,0.214953271028037,0.333333333333333,0.327102803738318,0.660436137071651,1,18,0.00318077398833716
2016,4,61101,"LG",28,10,1,1,2,4,0,8,0,33,7,7,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.321868916288125,9.94736842105263,7.38984700437681,3.94545454545455,0.0244821092278719,0.615384615384615,0.0141242937853107,0.1,0.1,0.2,0.121212121212121,0,0.242424242424242,0,2.05882352941176,0.357142857142857,0.424242424242424,0.678571428571429,1.10281385281385,1,16,0.00276720857834659
2016,4,61214,"OB",24,6,1,0,0,2,1,1,0,27,0,0,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,0.353790613718412,0,5.08282946051716,5.84444444444444,0.0324675324675325,0.84,0.0142857142857143,0.166666666666667,0,0,0.0740740740740741,0.037037037037037,0.037037037037037,0,1.46052631578947,0.25,0.333333333333333,0.291666666666667,0.625,0,6,0.00106044538706257
2016,4,61240,"OB",113,30,2,0,3,8,1,43,0,123,10,10,1,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,0.312252964426877,3.21428571428571,3.20187707956478,1.98536585365854,0.0293594306049822,0.727272727272727,0.0186832740213523,0.0666666666666667,0,0.1,0.0650406504065041,0.00813008130081301,0.349593495934959,0,2.70520231213873,0.265486725663717,0.317073170731707,0.36283185840708,0.679905029138787,1,6,0.00106044538706257
2016,4,61295,"OB",2,1,0,0,1,2,0,0,0,4,3,3,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,0.285714285714286,81,60.9161627938505,11.4,0.0552147239263804,0.333333333333333,0.0122699386503067,0,0,1,0.5,0,0,0,1.47368421052632,0.5,0.75,2,2.75,1,6,0.00106044538706257
2016,4,61323,"NC",61,16,2,1,2,10,3,7,0,77,11,11,3,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14,0.26241134751773,6.1875,7.10366279385049,5.86753246753247,0.0574162679425837,0.666666666666667,0.0143540669856459,0.125,0.0625,0.125,0.12987012987013,0.038961038961039,0.0909090909090909,0,1.03846153846154,0.262295081967213,0.376623376623377,0.426229508196721,0.802852884820098,1,14,0.0024809498493709
2016,4,61329,"LG",20,9,1,0,0,3,0,7,0,25,7,7,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.321428571428571,14.5384615384615,2.76231664000434,3.48,0.0205479452054795,0.666666666666667,0.0136986301369863,0.111111111111111,0,0,0.12,0,0.28,0,2.05714285714286,0.45,0.48,0.5,0.98,1,16,0.00276720857834659
2016,4,61365,"SS",42,18,7,0,0,4,2,2,0,48,11,11,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13,0.317718940936864,12.375,5.66616279385049,5.9,0.0312764158918005,0.594594594594595,0.0202874049027895,0.388888888888889,0,0,0.0833333333333333,0.0416666666666667,0.0416666666666667,0,1.52475247524752,0.428571428571429,0.5,0.595238095238095,1.0952380952381,1,8,0.00137954819796517
2016,4,61411,"SS",29,9,3,0,2,4,0,9,0,33,5,5,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13,0.267631103074141,6.75,6.91616279385049,3.58181818181818,0.0304347826086957,0.857142857142857,0.00543478260869565,0.333333333333333,0,0.222222222222222,0.121212121212121,0,0.272727272727273,0,2.61616161616162,0.310344827586207,0.393939393939394,0.620689655172414,1.01462904911181,1,8,0.00137954819796517
2016,4,61457,"SS",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13,0.266891891891892,0,3.91616279385049,5.4,0.025,0.8,0.0125,0,0,0,0,1,0,0,2.3030303030303,0,1,0,0,0,8,0.00137954819796517
2016,4,61569,"LT",9,3,0,0,1,0,0,1,0,9,3,3,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11,0.285714285714286,13.5,9.41616279385049,4.06666666666667,0,0,0,0,0,0.333333333333333,0,0,0.111111111111111,0,0,0.333333333333333,0.333333333333333,0.666666666666667,1,1,13,0.00224719101123596
2016,4,61643,"HT",51,12,2,0,2,6,0,15,0,57,4,4,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.354639175257732,2.76923076923077,4.99308587077357,3.50526315789474,0.0164576802507837,0.666666666666667,0.0227272727272727,0.166666666666667,0,0.166666666666667,0.105263157894737,0,0.263157894736842,0,1.99159663865546,0.235294117647059,0.315789473684211,0.392156862745098,0.707946336429309,1,19,0.00329232368740253
2016,4,61666,"HT",3,1,1,0,0,3,0,0,0,7,1,1,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.345381526104418,9,12.9161627938505,10.5428571428571,0.0295698924731183,0.772727272727273,0.0174731182795699,1,0,0,0.428571428571429,0,0,0,1.6046511627907,0.333333333333333,0.571428571428571,0.666666666666667,1.23809523809524,1,19,0.00329232368740253
2016,4,61891,"LG",45,14,3,1,0,5,0,11,0,52,5,4,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.358078602620087,3.27272727272727,3.27979915748686,4.01538461538462,0.0076530612244898,0.666666666666667,0.0204081632653061,0.214285714285714,0.0714285714285714,0,0.0961538461538462,0,0.211538461538462,0,2.38636363636364,0.311111111111111,0.365384615384615,0.422222222222222,0.787606837606838,0.8,16,0.00276720857834659
2016,4,62056,"SK",19,2,0,0,1,2,0,4,0,21,1,1,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10,0.278688524590164,1.58823529411765,5.85733926443873,4.25714285714286,0.0240549828178694,0.785714285714286,0.013745704467354,0,0,0.5,0.0952380952380952,0,0.19047619047619,0,1.45833333333333,0.105263157894737,0.19047619047619,0.263157894736842,0.453634085213033,1,18,0.00318077398833716
2016,4,62146,"LG",27,11,2,0,0,3,0,1,0,30,7,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.328859060402685,10.125,5.22866279385049,6.2,0.00859598853868195,0.666666666666667,0.0114613180515759,0.181818181818182,0,0,0.1,0,0.0333333333333333,0,1.42857142857143,0.407407407407407,0.466666666666667,0.481481481481481,0.948148148148148,0.857142857142857,16,0.00276720857834659
2016,4,62463,"LG",66,17,4,0,2,9,1,11,0,79,10,10,3,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.323886639676113,5.19230769230769,5.87770125538895,5.09620253164557,0.017910447761194,0.333333333333333,0.0298507462686567,0.235294117647059,0,0.117647058823529,0.113924050632911,0.0126582278481013,0.139240506329114,0,0.777777777777778,0.257575757575758,0.341772151898734,0.409090909090909,0.750863060989643,1,16,0.00276720857834659
